text,language
" अफ़गानिस्तान के बाद सिन्धु नदी के इस पार हिन्दुस्तान के पूरे इलाके को प्राचीन फ़ारसी साहित्य में भी हिन्द, हिन्दुश के नामों से पुकारा गया है तथा यहाँ की किसी भी वस्तु, भाषा, विचार को विशेषण के रूप में हिन्दीक कहा गया है जिसका मतलब है हिन्द का या हिन्द से",Hindi
 विशेषण विशेष्य-के पहले लगता है,Hindi
 विश्व आर्थिक मंच की गणना के अनुसार यह विश्व की दस शक्तिशाली भाषाओं में से एक है,Hindi
 मराठी भाषेचा गौरव ज्ञानेश्वरांनी त्यांच्या साहित्यातून ही केलेला दिसून येतो,Marathi
" ஆங்கிலேயப் படையெடுப்பு நிகழும் வரை, சேரர்களின் ஆளுகைக்கு உட்பட்டு இருந்த சிறிய நிலப்பகுதி, பெரும்பாலும் வேறெவருடைய படையெடுப்பிற்கும் ஆளாகாமல் இருந்தது",Tamil
 देवनागरी में 11 स्वर और 33 व्यंजन हैं,Hindi
 500க்கும் முன்பிருந்தே இப்பகுதியில் தமிழர்கள் வாழ்ந்து வந்துள்ளனர்,Tamil
 கி,Tamil
" 1000 ई॰ के आसपास इसकी स्वतन्त्र सत्ता का परिचय मिलने लगा था, जब अपभ्रंश भाषाएँ साहित्यिक सन्दर्भों में प्रयोग में आ रही थीं",Hindi
பி,Tamil
 'सिन्धु' सिन्धु नदी को कहते थे और उसी आधार पर उसके आस-पास की भूमि को सिन्धु कहने लगे,Hindi
" कभी-कभी 'हिन्दी' शब्द का प्रयोग नौ भारतीय राज्यों के सन्दर्भ में भी उपयोग किया जाता है, जिनकी आधिकारिक भाषा हिन्दी है और हिन्दी भाषी बहुमत है, अर्थात् बिहार, छत्तीसगढ़, हरियाणा, हिमाचल प्रदेश, झारखण्ड, मध्य प्रदेश, राजस्थान, उत्तराखण्ड, जम्मू और कश्मीर (२०२० से) उत्तर प्रदेश और राष्ट्रीय राजधानी क्षेत्र दिल्ली का",Hindi
 भीमा व सीना या दोन नद्यांचा संगमावर वसलेल्या या गावात चालुक्‍यकालीन संगमेश्‍वर मंदिर आहे,Marathi
स,Marathi
 இசுலாமியப் படையெடுப்புக்கு பதிலடி தரும் வண்ணம் பல்வேறு சிற்றரசுகள் சேர்ந்து விசயநகர பேரரசைத் தோற்றுவித்தன,Tamil
"हिन्दी जिसके मानकीकृत रूप को मानक हिंदी कहा जाता है, विश्व की एक प्रमुख भाषा है एवं भारत की एक राजभाषा है",Hindi
 इ,Marathi
 हालाँकि व्याकरणिक रूप से उर्दू और हिन्दी में कोई अन्तर नहीं है परन्तु कुछ विशेष क्षेत्रों में शब्दावली के स्रोत (जैसा कि ऊपर लिखा गया है) में अन्तर है,Hindi
" அதற்காக, சங்கரலிங்கனார் என்பவர் நாட்கள் உண்ணாவிரதம் இருந்து உயிர் துறந்தார்",Tamil
 தமிழ்நாடு இந்தியத் துணைக்கண்டத்தின் தென்முனையில் அமைந்துள்ளது,Tamil
 हिन्दी का स्वरूप शौरसेनी और अर्धमागधी अपभ्रंशों से विकसित हुआ है,Hindi
 मराठी ही महाराष्ट्र राज्याची एकमेव अधिकृत राजभाषा आहे,Marathi
 महाराष्ट्राबाहेरील एकूण १५ विद्यापीठांमध्ये मराठी शिकविली जाते,Marathi
" भारत आने के बाद अरबी-फ़ारसी बोलने वालों ने ज़बान-ए-हिन्दी, हिन्दी ज़बान अथवा हिन्दी का प्रयोग दिल्ली-आगरा के चारों ओर बोली जाने वाली भाषा के अर्थ में किया",Hindi
 300 – கி,Tamil
" வரலாற்று உண்மைகள் எவ்வாறு இருப்பினும், தற்காலத் தமிழ் மக்களுடைய அடையாளம், மேற்கண்ட கொள்கைகளின் அடிப்படையிலேயே வளர்த்தெடுக்கப்பட்டுள்ளது எனலாம்",Tamil
கி,Tamil
பி,Tamil
" இவர்களுள் சேரர்களில் செங்குட்டுவன் மன்னனும், சோழர்களில் கரிகால் சோழன் மன்னனும், பாண்டியர்களில் நெடுஞ்செழியன் மன்னனும் பெயர் பெற்ற ஆட்சியாளர்களாகத் திகழ்ந்து, மிகவும் புகழ்பெற்று விளங்கினர்",Tamil
"मराठी भाषा भारतासह, फिजी, मॉरिशस व इस्रायल या देशांतही बोलली जाते",Marathi
 हिन्दी भारत की राजभाषा है,Hindi
 १ मे हा दिवस मराठी भाषा दिन किंवा मराठी राजभाषा दिन म्हणून साजरा केला जातो,Marathi
" नामदेवशिंपी, गोरा कुंभार,नरहरी सोनार, सावता माळी, चोखा मेळा, बंका महार, सेना न्हावी, कान्होपात्रा यांनी भक्तिपर काव्यरचना केल्या व मराठी साहित्याच़े दालन वैविध्यानी समृद्ध केले",Marathi
 मराठी ही भाषा देवनागरी लिपी वापरून लिहिली जाते,Marathi
 अंतरावर अलिबाग- मुरुड जंजिरा रस्त्यावर आहे,Marathi
 शुक्ल यजुर्वेद की माध्यन्दिनि शाखा कुछ वाक़्यात में ष का उच्चारण ख की तरह करना मान्य था,Hindi
 इसे बाईं से दाईं ओर लिखा जाता है,Hindi
 छत्रपती शिवाजी महाराजांनी मराठी साम्राज्याची मुहूर्तमेढ रोवली आणि पेशव्यांनी या साम्राज्याचा विस्तार केला,Marathi
" சேரர்கள், தற்கால கேரள மற்றும் கொங்கு மாவட்டங்களிலும், சோழர்கள் தஞ்சாவூர், திருச்சிராப்பள்ளி ஆகிய மாவட்டங்களை உள்ளடக்கிய பகுதிகளிலும், பாண்டியர்கள் மதுரை, நெல்லை மற்றும் தென் கேரள மாவட்டங்களிலும் செல்வாக்கு செலுத்தினர்",Tamil
 यही भाषाएँ बाद में विकसित होकर आधुनिक भारतीय आर्य भाषाओं के रूप में अभिहित हुईं,Hindi
" பாண்டிய நாடு, கல்வியிலும், வணிகத்திலும் சிறந்து விளங்கியது",Tamil
 आजतागायत मराठी भाषेतून अनेक श्रेष्ठ साहित्यकृती निर्माण झालेल्या आहेत आणि त्यात सातत्यपूर्ण रीतीने भर पडत आहे,Marathi
 केन्द्रीय स्तर पर भारत में सह-आधिकारिक भाषा अंग्रेजी है,Hindi
 हिन्दी देवनागरी लिपि में लिखी जाती है और शब्दावली के स्तर पर अधिकांशतः संस्कृत के शब्दों का प्रयोग करती है,Hindi
" இவர்கள் கூட்டணியால் தமிழகம், வடதிசை மவுரிய குப்தப் பேரரசுகளின் ஆளுகையினை எதிர்த்து, தனியரசுகளாக விளங்கின",Tamil
" मराठी भाषेत आजवर विविध विषयांवर विस्तृत लेखन प्रकाशीत झाले असून , त्यातील कैक प्रकाशने जागतिक साहित्यात मानाचे स्थान मिळवू शकतील अशी आहेत",Marathi
 हिन्दी में दो लिंग होते हैं — पुल्लिंग और स्त्रीलिंग,Hindi
" उर्दू, नस्तालिक लिपि में लिखी जाती है और शब्दावली के स्तर पर फ़ारसी और अरबी भाषाओं का प्रभाव अधिक है",Hindi
 हा काळ इ,Marathi
 हिन्दी संवैधानिक रूप से भारत की राजभाषा और भारत की सबसे अधिक बोली और समझी जाने वाली भाषा है,Hindi
" हिन्दी, यूरोपीय भाषा-परिवार के अन्दर आती है",Hindi
" इसके अतिरिक्त भारत, पाकिस्तान और अन्य देशों में 14 करोड़ 10 लाख लोगों द्वारा बोली जाने वाली उर्दू, व्याकरण के आधार पर हिन्दी के समान है, एवं दोनों ही हिन्दुस्तानी भाषा की परस्पर-सुबोध्य रूप हैं",Hindi
 इ,Marathi
 भारतीय राज्यघटनेतील २२ अधिकृत भाषांच्या यादीत मराठीचा समावेश आहे,Marathi
 यूनानी शब्द ‘इण्डिका’ या लैटिन 'इण्डेया' या अंग्रेजी शब्द ‘इण्डिया’ आदि इस ‘हिन्दीक’ के ही दूसरे रूप हैं,Hindi
हिन्दी और इसकी बोलियाँ सम्पूर्ण भारत के विविध राज्यों में बोली जाती हैं,Hindi
" இக்கொள்கைப்படி, வடக்கிலிருந்து வந்த ஆரிய ஆக்கிரமிப்பு, தமிழர்களை இன்றைய இந்திய மாநிலங்களான தமிழ்நாடு, ஆந்திரப் பிரதேசம், கர்நாடகம், கேரளா ஆகியவை அடங்கிய தென்னிந்தியாவுக்குள் ஒடுக்கியதாகக் கருதப்படுகின்றது",Tamil
" भारत की स्वतंत्रता के पहले और उसके बाद भी बहुत से लोग हिन्दी को 'राष्ट्रभाषा' कहते आये हैं (उदाहरणतः, राष्ट्रभाषा प्रचार समिति, वर्धा, महाराष्ट्र राष्ट्रभाषा सभा, पुणे आदि) किन्तु भारतीय संविधान में 'राष्ट्रभाषा' का उल्लेख नहीं हुआ है और इस दृष्टि से हिन्दी को राष्ट्रभाषा कहने का कोई अर्थ नहीं है",Hindi
" 1316 இல் வடக்கிலிருந்து படையெடுத்து வந்த கில்சி ஆட்சியாளர்கள், மதுரையை முற்றுகையிட்டு சூறையாடினர்",Tamil
 ओम पश्चिम समुद्राधीपती श्री कोकण चक्रीवर्ती श्री केसिदेवराय यांचा महाप्रधान भइर्जु सेणुई याने शक संवत ९३४ परिधावी संवत्सर अधिक मासात शुक्रवारी वद्यपक्षात देवीचा बोढणासाठी नऊ कुंवली धान्य दान केले,Marathi
 हिन्दी का क्षेत्र विशाल है तथा हिन्दी की अनेक बोलियाँ (उपभाषाएँ) हैं,Hindi
 इसी में ईरानी का ईक प्रत्यय लगने से (हिन्द+ईक) ‘हिन्दीक’ बना जिसका अर्थ है ‘हिन्द का’,Hindi
स,Marathi
"महाराष्ट्रातील सर्व विद्यापीठांत मराठीच्या उच्च शिक्षणाची सोय आहे तसेच महाराष्ट्राबाहेरील गोवा विद्यापीठ (पणजी), महाराजा सयाजीराव विद्यापीठ (बडोदे), उस्मानिया विद्यापीठ (तेलंगण), गुलबर्गा विद्यापीठ, देवी अहिल्या विद्यापीठ (इंदूर) व जवाहरलाल नेहरू विश्वविद्यालय (नवी दिल्ली) येथे मराठी उच्चशिक्षण विभाग आहेत",Marathi
 एक विशाल संख्या में लोग हिन्दी और उर्दू दोनों को ही समझते हैं,Hindi
 இதனைத் தமிழ்நாடு என்று மாற்றக்கோரி போராட்டங்கள் நடைபெற்றன,Tamil
 शासनाशी मराठीत होणाऱ्या पत्रव्यवहाराचे उत्तर मराठीतच दिले जाते,Marathi
" हिन्दी की बोलियों में प्रमुख हैं- अवधी, ब्रजभाषा, कन्नौजी, बुन्देली, बघेली, भोजपुरी, हरयाणवी, राजस्थानी, छत्तीसगढ़ी, मालवी, नागपुरी, खोरठा, पंचपरगनिया, कुमाउँनी, मगही आदि",Hindi
 भिन्न-भिन्न भाषा-भाषियों के मध्य परस्पर विचार-विनिमय का माध्यम बनने वाली भाषा को सम्पर्क भाषा कहा जाता है,Hindi
" यही हिन्दीक शब्द अरबी से होता हुआ ग्रीक में इण्डिके, इण्डिका, लैटिन में इण्डेया तथा अंग्रेजी में इण्डिया बन गया",Hindi
 மேலும் இந்தியாவிலேயே அதிக நகர்ப்புறமாக்கப்பட்ட மாநிலமாகத் திகழ்கிறது,Tamil
 लीळाचरित्र हा महान ग्रंथ म्हाइंभटांनी लिहून मराठी भाषेचा पाया रोवला,Marathi
 अपने राष्ट्रीय स्वरूप में ही हिन्दी पूरे भारत की सम्पर्क भाषा बनी हुई है,Hindi
 याच काळात महानुभाव या पंथाची सुरुवात झाली,Marathi
 महाराष्ट्र हे मराठी भाषिकांचे राज्य म्हणून मराठी भाषेला वेगळे महत्त्व प्राप्त झालेले आहे,Marathi
 इनमें से ळ (मूर्धन्य पार्विक अन्तस्थ) एक अतिरिक्त व्यंजन है जिसका प्रयोग हिन्दी में नहीं होता है,Hindi
" पूर्वोत्तर की भाषाओं में से केवल असमिया, बोड़ो और मणिपुरी को भारतीय संविधान की आठवीं अनुसूची में स्थान मिला है",Hindi
" அவ்வப்போது பல்லவர்களாலும், சோழர்களாலும் அடக்கப்பட்டிருந்தாலும், தமிழ்நாட்டின் ஆற்றல் மிக்க அரச பரம்பரைகளில் ஒன்றாகப் பாண்டியர் விளங்கினர்",Tamil
 भारत की जनगणना २०११ में 57.1% भारतीय आबादी हिन्दी जानती है जिसमें से 43.63% भारतीय लोगों ने हिन्दी को अपनी मूल भाषा या मातृभाषा घोषित किया था,Hindi
" சிலர், ஒரு காலத்தில் இந்தியா முழுதும் பரவி வாழ்ந்திருந்த தமிழர்கள், சிந்து வெளி நாகரீகத்துக்கு உரியவர்களுள் ஒரு பிரிவினராக இருந்தனர் என்று கருதுகிறார்கள்",Tamil
 20000 ஆண்டுகளுக்கும் மேலாகப் பழமை வாய்ந்த தமிழ் மொழி கல்வெட்டுக்களும் இலக்கியமும் காணக் கிடைக்கின்றன,Tamil
பி,Tamil
" இவ்வினத்தவருடைய தெற்கு நோக்கிய பெயர்வு, ஆரிய ஆக்கிரமிப்புக் கொள்கையுடன் தொடர்புபடுத்தப்படுகின்றது",Tamil
 ये बोलियाँ हिन्दी की विविधता हैं और उसकी शक्ति भी,Hindi
 ये हिन्द ईरानी शाखा की हिन्द आर्य उपशाखा के अन्तर्गत वर्गीकृत है,Hindi
இக்காலகட்டத்தில் (கி,Tamil
" இசுலாமியர்களின் படையெடுப்பு சோழர்களையும், பாண்டியர்களையும், ஆற்றலற்றவர்களாக்கி இசுலாமிய பாமினி ஆட்சிக்கு வித்திட்டது",Tamil
 தமிழகத்தின் எல்லைகளைத் தொல்காப்பியப் பாடல்,Tamil
 मराठीच वय किमान २५०० वर्ष आहे,Marathi
 मराठी भाषा भारताच्या प्राचीन भाषांपैकी एक असून महाराष्ट्री प्राकृतचे आधुनिक रूप आहे,Marathi
 १०६०) होता,Marathi
 इसे नागरी के नाम से भी जाना जाता है,Hindi
 त्या शिलालेखावरील वरील मजकूर खालीलप्रमाणे,Marathi
 தன் வெற்றியைக் கொண்டாடும் வகையில் கங்கை கொண்ட சோழபுரம் எனும் தலைநகரை உருவாக்கினான்,Tamil
स,Marathi
 अन्य सभी भारतीय भाषाओं की तरह हिन्दी में भी कर्ता-कर्म-क्रिया वाला वाक्यविन्यास है,Hindi
 मराठी महाराष्ट्र राज्याची अधिकृत तर गोवा राज्याची सहअधिकृत भाषा आहे,Marathi
பி,Tamil
" त्याचबरोबर गोवा, उत्तर कर्नाटक (बेळगांव, हुबळी-धारवाड, गुलबर्गा, बिदर, कारवार), गुजरात (दक्षिण गुजरात, सुरत, बडोदा व अहमदाबाद), आंध्रप्रदेश (हैदराबाद), मध्यप्रदेश (इंदूर, ग्वाल्हेर), तामिळनाडू (तंजावर) व छत्तीसगढ राज्यांत आणि दमण आणि दीव, दादरा नगर हवेली या केंद्रशासित प्रदेशांतील काही भागातही मराठी बोलली जाते",Marathi
"சான்று தேவை தொன்கதை பாரம்பரியத்தின் படி, தமிழ் மொழியானது, சிவ பெருமானால் அகத்தியருக்குக் கற்பிக்கப்பட்டதாக நம்பப்படுகின்றது",Tamil
अपभ्रंश के सम्बन्ध में देशी शब्द की भी बहुधा चर्चा की जाती है,Hindi
" ஒன்பதாம் நூற்றாண்டின் இறுதிப் பகுதியில் ஆதித்த சோழனால் தோற்கடிக்கப்பட்டதுடன், பல்லவராட்சி, தமிழ்நாட்டில் முடிவுக்கு வந்தது",Tamil
 இதன் தலைநகரமாக சென்னை உள்ளது,Tamil
 अक्षी शिलालेखाच्या शोधापूर्वी कर्नाटकातील श्रवणबेळगोळ येथील गोमटेश्‍वराच्या उंच मूर्तीच्या पायाशी मराठीत कोरलेला लेख,Marathi
" संत एकनाथ यांनी या भाषेत भारुडे लिहिली आणि एकनाथी भागवत, भावार्थ रामायण आदि ग्रंथांची भर घातली",Marathi
 शेवटच़े वाक्‍य वाछि तो विजेया होईवा ।। असे मराठीत आहे,Marathi
स,Marathi
" भारत और अन्य देशों में भी लोग हिन्दी बोलते, पढ़ते और लिखते हैं",Hindi
 त्यानंतर इ,Marathi
 இவர்கள் செல்வாக்கு இலங்கை வரை பரவியிருந்ததாகக் கருதப்படுகிறது,Tamil
" முதலாம் மகேந்திரவர்மனும், அவனுடைய மகனான நரசிம்மவர்மனும் பல்லவர்களுள் சிறந்து விளங்கிய அரசர்களாவர்",Tamil
" இப்பேரரசின் பல்வேறு பகுதிகள் பிரிக்கப்பட்டு, அவற்றை மேற்பார்வையிட நாயக்கர்கள் என்னும் ஆட்சியாளர்கள் நியமிக்கப்பட்டனர்",Tamil
" தமிழகத்தின் மக்கள் அக்காலத்தின் பேரரசுகளாகிய கிரேக்க, ரோமப் பேரரசுகளுடன் வணிகத் தொடர்பு கொண்டிருந்தனர்",Tamil
"शब्दार्थ कोशांव्यतिरिक्त मराठी भाषेत अर्वाचीन चरित्र कोश, प्राचीन चरित्र कोश (सिद्धेश्वरशास्त्री चित्राव), तत्त्वज्ञानकोश, तुलनात्मक भाषा विज्ञान (भोलानाथ तिवारी+उदय नारायण तिवारी+पांडुरंग दामोदर गुणे) वाङ्मय कोश, विश्वकोश, समाजविज्ञान कोश, सरिता कोश, संस्कृती कोश, स्थलकोश, ज्ञानकोश (श्री",Marathi
मी,Marathi
 நான்காம் நூற்றாண்டு முற்பகுதியில் களப்பிரர் என்னும் குலம் தெரியாத அரசர்கள் தமிழகத்தை ஆண்டனர்,Tamil
स,Marathi
 इतरही अनेक देशांमध्ये मराठी भाषा बोलण्याचे प्रमाण वाढत आहे,Marathi
" भारत में हिन्दी, विभिन्न भारतीय राज्यों की 14 आधिकारिक भाषाओं और क्षेत्र की बोलियों का उपयोग करने वाले लगभग 1 अरब लोगों में से अधिकांश की दूसरी भाषा है",Hindi
பி,Tamil
 देवगिरीच्या यादवांच्या काळात मराठी भाषा व संस्कृतीची भरभराट झाली,Marathi
 முதலாம் நூற்றாண்டு தொடங்கி நான்காம் நூற்றாண்டுவரை தமிழகத்தில் ஆட்சி செலுத்தினர்,Tamil
" அவர்கள் மூவேந்தர்களையும் அடக்கி ஆண்டதால், அவர்களின் வரலாறு தெரியாமல் போயினும், பல்லவர் என்னும் அக்கால புதிய அரசர்கள் சுயாட்சி செலுத்தியதால், அவர்களைப் பற்றி மட்டும் குறிப்பிடத்தக்க ஆவணங்கள் கிடைத்துள்ளன",Tamil
 देवगिरीचा यादवांच़े महाराष्ट्रावर राज्य असल्याने मराठी भाषेला राजभाषेच़ा दर्जा होता,Marathi
" ஆம் ஆண்டில் மனித வளர்ச்சிச் சுட்டெண்ணில் பத்தாமிடத்தில், (ஒன்றிய ஆட்சிப்பகுதிகளையும் சேர்த்தால் பதினாறாவது இடத்தில்) இருந்தது",Tamil
 क्रिया के रूप कर्ता के लिंग पर निर्भर करता है,Hindi
" என்று வரையறுக்கிறது தொல்காப்பியம், சிறப்புப் பாயிரம்",Tamil
प्रोफ़ेसर महावीर सरन जैन ने अपने हिन्दी एवं उर्दू का अद्वैत शीर्षक आलेख में हिन्दी की व्युत्पत्ति पर विचार करते हुए कहा है कि ईरान की प्राचीन भाषा अवेस्ता में स् ध्वनि नहीं बोली जाती थी बल्कि स् को ह् की तरह बोला जाता था,Hindi
 १२९० मध्ये ज्ञानेश्वरी या ग्रंथाची रचना ज्ञानेश्वरांनी केली,Marathi
 यह हिन्दुस्तानी भाषा की एक मानकीकृत रूप है जिसमें संस्कृत के तत्सम तथा तद्भव शब्दों का प्रयोग अधिक है और अरबी-फ़ारसी शब्द कम हैं,Hindi
 १०१८ या काळात तो कोरला गेला असावा,Marathi
 ஆயினும் அந்த எழுச்சி நீண்ட காலம் நீடிக்கவில்லை,Tamil
" நாயக்கர் ஆட்சிக் காலத்தில், தமிழ்நாடு அரசியல் அமைப்புகள் மாற்றி அமைக்கப்பட்டன, பாளையங்கள் உருவாக்கப்பட்டு, கிராம சுய ஆட்சி முறை ஒழிக்கப்பட்டது",Tamil
"தமிழகம் ஆங்கிலத்தில் மெட்ராஸ் ஸ்டேட் என்றும், தமிழில் சென்னை மாகாணம் என்றும் அழைக்கப்பெற்றது",Tamil
 मराठीत दरवर्षी दोन हजार नवीन पुस्तके प्रकाशित होतात व सुमारे ५०० दिवाळी अंक प्रसिद्ध होतात,Marathi
 महाराष्ट्राचा बहुतेक सर्व जातीत यामुळे संतांची परंपरा जन्मास आली व त्यांनी वेगवेगळ्या प्रकारे काव्यरचनेस सुरुवात केली,Marathi
" जनभाषा व्याकरण के नियमों का अनुसरण नहीं करती, परन्तु व्याकरण को जनभाषा की प्रवृत्तियों का विश्लेषण करना पड़ता है",Hindi
" இராசராச சோழன் மற்றும் அவனது மகனான இராசேந்திர சோழன் ஆகியோரது காலத்தில் சோழர், தென்னிந்தியாவில் ஆற்றல் மிக்கவர்களாக உருவெடுத்தனர்",Tamil
अपभ्रंश की समाप्ति और आधुनिक भारतीय भाषाओं के जन्मकाल के समय को संक्रान्तिकाल कहा जा सकता है,Hindi
 वास्तव में देशी से देशी शब्द एवं देशी भाषा दोनों का बोध होता है,Hindi
பி,Tamil
 வட வேங்கடம் தென் குமரி ஆயிடைத் தமிழ் கூறு நல்லுலகம்,Tamil
 देशातील ३६ राज्ये आणि ७२ देशांमध्ये मराठी भाषिकांची वस्ती आहे,Marathi
 முதன்மைக் கட்டுரைகள்: தமிழ்நாட்டு வரலாறுமற்றும் பண்டைய தமிழ் வரலாற்று மூலங்கள்,Tamil
 मराठी ही भारताच्या २२ अधिकृत भाषांपैकी एक आहे,Marathi
 जैसे संस्कृत शब्द असुर का अवेस्ता में सजाति समकक्ष शब्द अहुर था,Hindi
" चक्रधर स्वामी, भावे व्यास, महिंद्र व्यास, नागदेव आणि महदंबा यांनीही मराठी वाङमयात महत्त्वाची भर घातली",Marathi
 मराठी भाषा मुख्यत्वे भारताच्या महाराष्ट्र राज्यात बोलली जाते,Marathi
